+====================+===================+========================================================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                                                                    |
+====================+===================+========================================================================================+
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[833]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[322]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[66]/D                    |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[20].unit/stage3_inst/fpu2h/ex2_d_frac_r/q_reg[21]/D |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[582]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[577]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[578]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[773]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[3].unit/stage5_inst/fb_reg[834]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[5].unit/stage5_inst/fb_reg[588]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[5].unit/stage5_inst/fb_reg[586]/D                   |
| clkout2_primitive  | clkout2_primitive | design_1_i/emax6_2/inst/EMAX6_UNIT[5].unit/stage5_inst/fb_reg[844]/D                   |
